SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,DOLLARS PER SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,NUM_UNITS,Association Heat,Association Water,Pool,Other Extras,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,7 Division St Unit 2A,Oak Park,IL,60302,107700.00,2.00,2.00,Oak Park,,,1964.00,13.00,,393.00,Active,,,,,,,,http://www.redfin.com/IL/Oak-Park/7-Division-St-60302/unit-2A/home/13276618,MRED,10885236,N,Y,41.9018421,-87.7756991
MLS Listing,,Condo/Co-op,106 S Ridgeland Ave #412,Oak Park,IL,60302,345000.00,2.00,2.00,Oak Park,1300.00,,2004.00,14.00,265.00,314.00,Active,,,52,FALSE,TRUE,FALSE,FALSE,http://www.redfin.com/IL/Oak-Park/106-S-Ridgeland-Ave-60302/unit-412/home/22986588,MRED,10883936,N,Y,41.8866707,-87.7841265
MLS Listing,,Condo/Co-op,106 S Ridgeland Ave #315,Oak Park,IL,60302,234500.00,1.00,1.00,Oak Park,1013.00,,2004.00,17.00,231.00,294.00,Active,,,52,FALSE,TRUE,FALSE,FALSE,http://www.redfin.com/IL/Oak-Park/106-S-Ridgeland-Ave-60302/unit-315/home/12635383,MRED,10881850,N,Y,41.8866707,-87.7841265
MLS Listing,,Condo/Co-op,248 S MARION St #201,Oak Park,IL,60302,168800.00,2.00,1.00,Oak Park,1000.00,,1968.00,17.00,169.00,351.00,Active,,,20,TRUE,TRUE,FALSE,FALSE,http://www.redfin.com/IL/Oak-Park/248-S-Marion-St-60302/unit-201/home/13269667,MRED,10881362,N,Y,41.8837231,-87.8020761
MLS Listing,,Condo/Co-op,501 N Harlem Ave #1,Oak Park,IL,60302,126000.00,1.00,1.00,Oak Park,900.00,35875.00,1928.00,17.00,140.00,355.00,Active,October-11-2020 11:00 AM,October-11-2020 01:00 PM,16,TRUE,TRUE,FALSE,FALSE,http://www.redfin.com/IL/Oak-Park/501-N-Harlem-Ave-60302/unit-1/home/12727924,MRED,10880979,N,Y,41.89084,-87.804867
MLS Listing,,Condo/Co-op,1130 WASHINGTON Blvd Unit 3A,Oak Park,IL,60302,275000.00,3.00,2.00,Oak Park,,,1925.00,17.00,,370.00,Active,,,,,,,,http://www.redfin.com/IL/Oak-Park/1130-Washington-Blvd-60302/unit-3A/home/144979031,MRED,10880504,N,Y,41.881945,-87.8032831
MLS Listing,,Condo/Co-op,339 Home Ave Unit 2F,Oak Park,IL,60302,315000.00,3.00,2.00,Oak Park,1950.00,,1966.00,18.00,162.00,440.00,Active,October-11-2020 12:00 PM,October-11-2020 02:00 PM,19,TRUE,TRUE,FALSE,FALSE,http://www.redfin.com/IL/Oak-Park/339-Home-Ave-60302/unit-2F/home/13270322,MRED,10879977,N,Y,41.881846,-87.800385
MLS Listing,,Condo/Co-op,844 Washington Blvd #2,Oak Park,IL,60302,110000.00,1.00,1.00,Oak Park,,,,19.00,,270.00,Active,,,,,,,,http://www.redfin.com/IL/Oak-Park/844-Washington-Blvd-60302/unit-2/home/12726955,MRED,10878740,N,Y,41.881865,-87.7965976
MLS Listing,,Condo/Co-op,815 Washington Blvd Unit B,Oak Park,IL,60302,295000.00,3.00,1.00,Oak Park,1800.00,,1931.00,20.00,164.00,574.00,Active,,,18,TRUE,TRUE,FALSE,FALSE,http://www.redfin.com/IL/Oak-Park/815-Washington-Blvd-60302/unit-B/home/13269437,MRED,10876965,N,Y,41.881303,-87.795253
MLS Listing,,Condo/Co-op,430 Wesley Ave Unit 2S,Oak Park,IL,60302,249000.00,3.00,2.00,Oak Park,1900.00,,1918.00,20.00,131.00,334.00,Active,,,5,FALSE,TRUE,FALSE,FALSE,http://www.redfin.com/IL/Oak-Park/430-Wesley-Ave-60302/unit-2S/home/12650817,MRED,10876742,N,Y,41.880441,-87.790549
MLS Listing,,Condo/Co-op,232 N Oak Park Ave Unit 1G,Oak Park,IL,60302,129000.00,1.00,1.00,Oak Park,850.00,,1924.00,23.00,152.00,341.00,Active,,,112,TRUE,TRUE,FALSE,FALSE,http://www.redfin.com/IL/Oak-Park/232-N-Oak-Park-Ave-60302/unit-1G/home/13272115,MRED,10862665,N,Y,41.890997,-87.794034
MLS Listing,,Condo/Co-op,1120 Washington Blvd Unit 3A,Oak Park,IL,60302,149900.00,1.00,1.00,Oak Park,,,1925.00,24.00,,205.00,Active,,,,,,,,http://www.redfin.com/IL/Oak-Park/1120-Washington-Blvd-60302/unit-3A/home/83563003,MRED,10862216,N,Y,41.8819492,-87.8033961
MLS Listing,,Condo/Co-op,211 N Marion St Unit 1B,Oak Park,IL,60302,104900.00,1.00,1.00,Oak Park,,,,24.00,,241.00,Active,,,,,,,,http://www.redfin.com/IL/Oak-Park/211-N-Marion-St-60302/unit-1B/home/13271425,MRED,10862173,N,Y,41.8911135,-87.8029768
MLS Listing,,Condo/Co-op,1133 CHICAGO Ave Unit 3E,Oak Park,IL,60302,625000.00,3.00,2.00,Oak Park,1896.00,,2017.00,24.00,330.00,459.00,Active,October-11-2020 02:30 PM,October-11-2020 04:30 PM,11,FALSE,TRUE,FALSE,TRUE,http://www.redfin.com/IL/Oak-Park/1133-Chicago-Ave-60302/unit-3E/home/57172865,MRED,10862164,N,Y,41.8940362,-87.8041886
MLS Listing,,Condo/Co-op,512 Madison St Unit 2N,Oak Park,IL,60302,105000.00,1.00,1.00,Oak Park,,,1913.00,24.00,,280.00,Active,,,,,,,,http://www.redfin.com/IL/Oak-Park/512-Madison-St-60302/unit-2N/home/12791317,MRED,10862048,N,Y,41.8800622,-87.7883397
MLS Listing,,Condo/Co-op,401 S GROVE St Unit 2F,Oak Park,IL,60302,143000.00,1.00,1.00,Oak Park,1000.00,,1968.00,24.00,143.00,283.00,Active,,,25,TRUE,TRUE,FALSE,FALSE,http://www.redfin.com/IL/Oak-Park/401-S-Grove-Ave-60302/unit-2F/home/13269319,MRED,10860835,N,Y,41.8812824,-87.7960835
MLS Listing,,Condo/Co-op,847 S Humphrey Ave #1,Oak Park,IL,60304,169900.00,2.00,1.00,Oak Park,1000.00,,1923.00,26.00,170.00,387.00,Active,,,6,TRUE,TRUE,FALSE,FALSE,http://www.redfin.com/IL/Oak-Park/847-S-Humphrey-Ave-60304/unit-1/home/12659015,MRED,10858634,N,Y,41.8729035,-87.7759858
